subject,weekday,start_time,end_time
國文,一,08:00,08:50
國文,一,08:50,09:50
數學,一,10:10,11:00
數學,一,11:10,12:00
英文,一,13:00,13:50
加深加廣,一,14:00,14:50
加深加廣,一,15:00,15:50
國防,二,08:00,08:50
英文,二,09:00,09:50
美術,二,10:10,11:00
數學,二,11:10,12:00
物理,二,13:00,13:50
體育,二,14:00,14:50
化學,二,15:00,15:50
表藝,三,08:00,08:50
化學,三,09:00,09:50
英文,三,10:10,11:00
英文,三,11:10,12:00
多元選修,三,13:00,13:50
多元選修,三,14:00,14:50
物理,三,15:00,15:50
物理,四,08:00,08:50
物理,四,09:00,09:50
國文,四,10:10,11:00
國文,四,11:10,12:00
資訊,四,13:00,13:50
資訊,四,14:00,14:50
美術,四,15:00,15:50
化學,五,08:00,08:50
化學,五,09:00,09:50
團體活動,五,10:10,11:00
團體活動,五,11:10,12:00
體育,五,13:00,13:50
數學,五,14:00,14:50
數學,五,15:00,15:50
